id,spanish,english,level,partOfSpeech,imageQuery
9304,"Arreglan el coche en el taller mecánico.","They fix the car at the auto repair shop.",A2,phrase,"mechanic fixing car engine"
9305,"Llenamos el depósito en la gasolinera.","We fill the tank at the gas station.",A2,phrase,"fueling car gas pump"
9306,"Lavamos las sábanas en la lavandería.","We wash the bedsheets at the laundromat.",A2,phrase,"laundromat washing machines"
9307,"Vemos una película en el cine de verano.","We watch a movie at the outdoor summer cinema.",A2,phrase,"outdoor cinema screen night"
9308,"Compramos entradas para el teatro.","We buy tickets for the theater.",A2,phrase,"theater stage red curtains"
9309,"Admiramos cuadros en el museo de arte.","We admire paintings in the art museum.",A2,phrase,"art museum paintings gallery"
9310,"Estudiamos en la biblioteca pública.","We study in the public library.",A2,phrase,"quiet library study tables"
9311,"Nos montamos en la montaña rusa del parque.","We ride the roller coaster at the amusement park.",A2,phrase,"amusement park roller coaster"
9312,"Vemos animales raros en el zoológico.","We see rare animals at the zoo.",A2,phrase,"zoo giraffes enclosure"
9313,"El estadio de fútbol está lleno.","The soccer stadium is full.",A2,phrase,"packed soccer stadium lights"
9314,"Jugamos al baloncesto en el gimnasio deportivo.","We play basketball at the sports center.",A2,phrase,"indoor basketball court game"
9315,"Jugamos un partido en la pista de tenis.","We play a match on the tennis court.",A2,phrase,"tennis court net match"
9316,"Caminamos por la playa de arena dorada.","We walk on the golden sandy beach.",A2,phrase,"golden sandy beach waves"
9317,"La montaña nevada es imponente.","The snowy mountain is imposing.",A2,phrase,"snowy mountain peak blue sky"
9318,"Cruzamos el bosque verde y frondoso.","We cross the green and lush forest.",A2,phrase,"lush green forest trees path"
9319,"El río caudaloso fluye hacia el mar.","The rushing river flows towards the sea.",A2,phrase,"flowing river mountain valley"
9320,"Navegamos en barco por el lago azul.","We sail by boat on the blue lake.",A2,phrase,"boat blue lake reflection"
9321,"Visitamos una isla tropical en vacaciones.","We visit a tropical island on vacation.",A2,phrase,"tropical island palm beach"
9322,"El sol brilla en el día soleado.","The sun shines on the sunny day.",A2,phrase,"bright sun blue sky day"
9323,"El cielo está totalmente nublado.","The sky is totally cloudy.",A2,phrase,"cloudy dark sky overcast"
9324,"Está lluvioso así que llevo paraguas.","It is rainy so I carry an umbrella.",A2,phrase,"person umbrella rainy street"
9325,"La tormenta trae truenos y relámpagos.","The storm brings thunder and lightning.",A2,phrase,"lightning storm night sky"
9326,"Cae la nieve en las montañas.","Snow falls in the mountains.",A2,phrase,"snow falling winter trees"
9327,"Sopla un viento fuerte hoy.","A strong wind is blowing today.",A2,phrase,"wind blowing trees leaves"
9328,"Hay mucha niebla por la mañana.","There is a lot of fog in the morning.",A2,phrase,"foggy morning road trees"
9329,"La temperatura baja por la noche.","The temperature drops at night.",A2,phrase,"thermometer cold night"
9330,"Hace calor dentro de la casa.","It is hot inside the house.",A2,phrase,"cozy warm sunny room"
9331,"El agua del mar está muy fría.","The sea water is very cold.",A2,phrase,"cold ocean waves beach"
9332,"Disfrutamos del día primaveral.","We enjoy the spring-like day.",A2,phrase,"spring blooming flowers park"
9333,"El ambiente veraniego es alegre.","The summer-like atmosphere is cheerful.",A2,phrase,"beach pool party summer"
9334,"Las hojas otoñales caen al suelo.","The autumnal leaves fall to the ground.",A2,phrase,"autumn leaves park ground"
9335,"El paisaje invernal está blanco.","The wintry landscape is white.",A2,phrase,"snowy wintry trees village"
9336,"Salimos de viaje de madrugada.","We set off on a trip early in the morning.",A2,phrase,"early morning road trip dawn"
9337,"Miramos el atardecer junto al mar.","We watch the sunset by the sea.",A2,phrase,"golden sunset ocean waves"
9338,"El amanecer en la montaña es hermoso.","Sunrise in the mountains is beautiful.",A2,phrase,"mountain peak sunrise dawn"
9339,"Consulto mi horario de clases.","I check my class schedule.",A2,phrase,"student checking timetable schedule"
9340,"Miro la fecha en el calendario.","I look at the date on the calendar.",A2,phrase,"calendar page date circle"
9341,"Miro mi reloj de pulsera.","I look at my wristwatch.",A2,phrase,"wristwatch on wrist time"
9342,"La alarma suena a las seis y media.","The alarm rings at six thirty.",A2,phrase,"alarm clock ringing morning"
9343,"Espérame solo un minuto.","Wait for me just one minute.",A2,phrase,"stopwatch timer minute"
9344,"La carrera dura pocos segundos.","The race lasts a few seconds.",A2,phrase,"digital race timer finish line"
9345,"Llegamos a la hora puntual.","We arrive at the exact time.",A2,phrase,"clock hands exact time"
9346,"Trabajamos durante el día.","We work during the day.",A2,phrase,"bright daytime office work"
9347,"Caminamos por la ciudad por la noche.","We walk through the city at night.",A2,phrase,"city night lights walk"
9348,"El reloj da doce campanadas a medianoche.","The clock strikes twelve chimes at midnight.",A2,phrase,"clock tower striking midnight"
9349,"Llegamos a tiempo para la película.","We arrive on time for the movie.",A2,phrase,"movie theater entrance on time"
9350,"El autobús viene con retraso.","The bus comes with a delay.",A2,phrase,"bus waiting stop clock"
9351,"De repente empezó a llover.","Suddenly it started to rain.",A2,phrase,"sudden rain street umbrella"
9352,"Por fin terminamos el examen.","At last we finished the exam.",A2,phrase,"happy student finishing exam"
9353,"Al principio no entendía la lección.","At first I did not understand the lesson.",A2,phrase,"confused student book desk"
9354,"Al final todos celebramos el éxito.","In the end we all celebrate the success.",A2,phrase,"team celebrating victory win"
9355,"Sin embargo seguimos intentando.","However we keep trying.",A2,phrase,"persistent runner track"
9356,"Por lo tanto aprobamos el curso.","Therefore we passed the course.",A2,phrase,"happy student diploma certificate"
9357,"Además aprendemos muchas cosas.","Furthermore we learn many things.",A2,phrase,"books library learning"
9358,"Yo tampoco lo sabía.","Neither did I know it.",A2,phrase,"two friends nodding agreement"
9359,"Todavía estamos a tiempo.","We are still on time.",A2,phrase,"clock running catching train"
9360,"Ya no vivo en esa calle.","I no longer live on that street.",A2,phrase,"moving away street sign"
9361,"Casi siempre desayuno café.","I almost always eat breakfast with coffee.",A2,phrase,"morning coffee breakfast cup"
9362,"De vez en cuando voy al cine.","Once in a while I go to the cinema.",A2,phrase,"movie theater popcorn seat"
9363,"Pocas veces como comida rápida.","I rarely eat fast food.",A2,phrase,"healthy salad meal plate"
9364,"Buscamos en todas partes.","We search everywhere.",A2,phrase,"searching room everywhere"
9365,"No lo encontré en ninguna parte.","I did not find it anywhere.",A2,phrase,"empty quiet room search"
9366,"Está oculto en algún lugar.","It is hidden somewhere.",A2,phrase,"treasure map hidden spot"
9367,"Caminamos hacia adelante con valor.","We walk forward with courage.",A2,phrase,"hikers walking forward trail"
9368,"Da un paso hacia atrás.","Take one step backward.",A2,phrase,"person stepping backward"
9369,"Gira a la izquierda en el semáforo.","Turn to the left at the traffic light.",A2,phrase,"traffic light turn left sign"
9370,"Dobla a la derecha en la esquina.","Turn to the right at the corner.",A2,phrase,"street corner turn right sign"
9371,"Sigue todo recto por dos manzanas.","Go straight ahead for two blocks.",A2,phrase,"straight highway road sign"
9372,"La farmacia está en la esquina.","The pharmacy is on the corner.",A2,phrase,"street corner pharmacy sign"
9373,"El banco está al lado del museo.","The bank is next to the museum.",A2,phrase,"bank museum buildings side"
9374,"La cafetería está enfrente de la estación.","The coffee shop is in front of the station.",A2,phrase,"cafe in front of station"
9375,"El jardín está detrás de la casa.","The garden is behind the house.",A2,phrase,"backyard garden behind house"
9376,"El gato duerme debajo de la mesa.","The cat sleeps underneath the table.",A2,phrase,"cat sleeping under dining table"
9377,"El libro está encima de la estantería.","The book is on top of the bookshelf.",A2,phrase,"book top of bookshelf"
9378,"La tienda está entre el restaurante y el hotel.","The shop is between the restaurant and the hotel.",A2,phrase,"shop between two buildings"
9379,"Caminamos alrededor del parque.","We walk around the park.",A2,phrase,"people walking around park pond"
9380,"La luz pasa a través de la ventana.","Light passes through the window.",A2,phrase,"sunlight streaming window"
9381,"Es una persona muy amable y atenta.","She is a very kind and attentive person.",A2,phrase,"kind person helping elder"
9382,"Mi nuevo compañero es muy simpático.","My new classmate is very nice.",A2,phrase,"friendly smiling classmate"
9383,"No me gusta la gente antipática.","I do not like unfriendly people.",A2,phrase,"unfriendly frowning person"
9384,"El estudiante inteligente resuelve el problema.","The intelligent student solves the problem.",A2,phrase,"smart student blackboard math"
9385,"Es un perro trabajador y leal.","He is a hardworking and loyal dog.",A2,phrase,"working dog loyal shepherd"
9386,"No seas perezoso y empieza a estudiar.","Do not be lazy and start studying.",A2,phrase,"person studying desk book"
9387,"Es muy generoso con sus amigos.","He is very generous with his friends.",A2,phrase,"sharing food generous friend"
9388,"Una película divertida nos alegra el día.","A funny movie brightens our day.",A2,phrase,"laughing audience movie theater"
9389,"Nos vemos pronto en la cafetería.","See you soon at the coffee shop.",A2,phrase,"friends wave coffee shop"
9390,"Tengo muchas ganas de viajar.","I really want to travel.",A2,phrase,"traveler passport suitcase map"
9391,"El agua de la piscina está templada.","The pool water is lukewarm.",A2,phrase,"warm swimming pool resort"
9392,"Me gusta pasear por la mañana temprano.","I like to stroll early in the morning.",A2,phrase,"early morning peaceful walk"
9393,"Cerraron la tienda antes de tiempo.","They closed the shop ahead of time.",A2,phrase,"closed shop front door"
9394,"Comemos fruta todos los días.","We eat fruit every day.",A2,phrase,"fresh fruit salad bowl"
9395,"El autobús llegó a su hora.","The bus arrived on schedule.",A2,phrase,"bus arriving transit stop"
9396,"Disfrutamos de unas buenas vacaciones.","We enjoyed a great vacation.",A2,phrase,"resort beach holiday lounge"
9397,"El café caliente nos reconforta.","Hot coffee comforts us.",A2,phrase,"mug hot steaming coffee"
9398,"Hacemos planes para el fin de semana.","We make plans for the weekend.",A2,phrase,"planning calendar weekend trip"
9399,"La música suena muy alegre.","The music sounds very cheerful.",A2,phrase,"upbeat music headphones dance"
9400,"Gracias por tu valiosa ayuda.","Thank you for your valuable help.",A2,phrase,"shaking hands thank you"
9401,"Buen viaje a todos.","Have a good trip everyone.",A2,phrase,"waving goodbye airport departure"
9402,"Es importante cuidar el medio ambiente para el futuro.","It is important to care for the environment for the future.",B1,phrase,"green environment nature sprout"
9403,"La investigación científica requiere mucho esfuerzo y paciencia.","Scientific research requires a lot of effort and patience.",B1,phrase,"scientist laboratory research microscope"
9404,"La tecnología moderna cambia nuestra vida cotidiana.","Modern technology changes our daily life.",B1,phrase,"modern technology circuit smartphone"
9405,"Debemos trabajar juntos para mejorar nuestra sociedad.","We must work together to improve our society.",B1,phrase,"diverse group people community"
9406,"La educación es la clave para el desarrollo personal.","Education is the key to personal development.",B1,phrase,"university graduation students"
9407,"El gobierno anunció nuevas medidas para la economía.","The government announced new measures for the economy.",B1,phrase,"parliament building announcement"
9408,"La industria local produce mercancías de alta calidad.","Local industry produces high quality merchandise.",B1,phrase,"factory industrial production"
9409,"Firmamos un contrato de trabajo la semana pasada.","We signed an employment contract last week.",B1,phrase,"signing business contract document"
9410,"El proyecto fue un gran éxito para toda la empresa.","The project was a great success for the whole company.",B1,phrase,"team celebrating project success"
9411,"Debemos definir nuestra estrategia antes de empezar.","We must define our strategy before starting.",B1,phrase,"chess strategy game pieces"
9412,"Encontramos una solución creativa para el problema.","We found a creative solution for the problem.",B1,phrase,"puzzle piece fitting solution"
9413,"El riesgo de la inversión es bastante bajo.","The investment risk is quite low.",B1,phrase,"growing plant coins investment"
9414,"La vacunación ayuda a prevenir enfermedades graves.","Vaccination helps prevent serious diseases.",B1,phrase,"syringe vaccine bottle medical"
9415,"El médico recomendó un tratamiento adecuado.","The doctor recommended an appropriate treatment.",B1,phrase,"doctor consulting patient clinic"
9416,"Valoro mucho la opinión de mis mejores amigos.","I greatly value the opinion of my best friends.",B1,phrase,"two friends talking advice"
9417,"El conocimiento nos da libertad y confianza.","Knowledge gives us freedom and confidence.",B1,phrase,"glowing lightbulb brain idea"
9418,"Con esfuerzo y dedicación alcanzaremos nuestros objetivos.","With effort and dedication we will achieve our goals.",B1,phrase,"climber mountain summit target"
9419,"Sentí una gran alegría al recibir la buena noticia.","I felt great joy upon receiving the good news.",B1,phrase,"happy person jumping joy"
9420,"La esperanza nos ayuda a superar momentos difíciles.","Hope helps us overcome difficult moments.",B1,phrase,"holding glowing light hope"
9421,"Es fundamental mantener la confianza en la pareja.","It is essential to maintain trust in the relationship.",B1,phrase,"couple holding hands trust"
9422,"Los vecinos se unieron para mejorar la comunidad.","Neighbors joined together to improve the community.",B1,phrase,"community garden neighbors working"
9423,"El ciudadano tiene el derecho de votar libremente.","The citizen has the right to vote freely.",B1,phrase,"person voting ballot box"
9424,"El juez dictó la sentencia según la ley.","The judge handed down the sentence according to the law.",B1,phrase,"gavel judge courtroom"
9425,"El abogado presentó pruebas convincentes.","The lawyer presented convincing proof.",B1,phrase,"lawyer presenting evidence court"
9426,"Llegamos a un acuerdo satisfactorio para ambas partes.","We reached a satisfactory agreement for both parties.",B1,phrase,"business handshake deal"
9427,"La paz es necesaria para el progreso social.","Peace is necessary for social progress.",B1,phrase,"white dove flying peace"
9428,"El ejército protegió la frontera nacional.","The army protected the national border.",B1,phrase,"soldiers border checkpoint"
9429,"Es fascinante aprender un idioma extranjero.","It is fascinating to learn a foreign language.",B1,phrase,"world map languages learning"
9430,"Las redes sociales facilitan la comunicación global.","Social media facilitates global communication.",B1,phrase,"social media icons phone"
9431,"La literatura clásica refleja la historia humana.","Classic literature reflects human history.",B1,phrase,"antique book library reading"
9432,"El desarrollo sostenible es una meta mundial.","Sustainable development is a global goal.",B1,phrase,"green planet earth care"
9433,"La investigación médica descubrió una nueva cura.","Medical research discovered a new cure.",B1,phrase,"microscope laboratory science"
9434,"El desempleo disminuyó en el último año.","Unemployment decreased in the last year.",B1,phrase,"rising employment chart graph"
9435,"Presenté una propuesta para el nuevo negocio.","I presented a proposal for the new business.",B1,phrase,"business meeting presentation"
9436,"El presupuesto anual cubre todos los gastos.","The annual budget covers all expenses.",B1,phrase,"financial budget planning calculator"
9437,"Pagamos los impuestos a tiempo cada año.","We pay taxes on time every year.",B1,phrase,"tax form coins calculator"
9438,"El salario mínimo aumentó recientemente.","The minimum wage increased recently.",B1,phrase,"paycheck cash money envelope"
9439,"La seguridad ciudadana es la prioridad local.","Public security is the local priority.",B1,phrase,"police officer neighborhood shield"
9440,"El síntoma principal era la fiebre alta.","The main symptom was high fever.",B1,phrase,"thermometer fever check patient"
9441,"Compré los medicamentos en la farmacia.","I bought the medicines at the pharmacy.",B1,phrase,"pharmacy counter medicine box"
9442,"El consejo del profesor me ayudó mucho.","The teacher's advice helped me a lot.",B1,phrase,"teacher advising student desk"
9443,"La memoria mejora con la práctica diaria.","Memory improves with daily practice.",B1,phrase,"brain memory exercise thought"
9444,"Expresó sus sentimientos con total sinceridad.","He expressed his feelings with total sincerity.",B1,phrase,"person speaking heart sincerely"
9445,"El orgullo de conseguir el título fue enorme.","The pride of getting the degree was huge.",B1,phrase,"graduate student medal diploma"
9446,"Debemos mostrar respeto por la diversidad cultural.","We must show respect for cultural diversity.",B1,phrase,"multicultural group smiling unity"
9447,"La relación entre ambas empresas es excelente.","The relationship between both companies is excellent.",B1,phrase,"corporate partnership handshake"
9448,"El matrimonio celebró su aniversario de bodas.","The married couple celebrated their wedding anniversary.",B1,phrase,"wedding rings couple cake"
9449,"La justicia debe ser igual para todos.","Justice must be equal for everyone.",B1,phrase,"scales of justice gavel court"
9450,"El testigo declaró la verdad en el juicio.","The witness declared the truth in the trial.",B1,phrase,"courtroom witness stand oath"
9451,"Resolvieron la discusión con diálogo tranquilo.","They resolved the argument with calm dialogue.",B1,phrase,"two people talking calmly"
9452,"El anuncio publicitario llamó mi atención.","The advertisement caught my attention.",B1,phrase,"city billboard advertisement"
9453,"La noticia se difundió en la televisión.","The news was broadcast on television.",B1,phrase,"news reporter broadcast tv"
9454,"Leí un poema emotivo en la reunión.","I read an emotional poem at the meeting.",B1,phrase,"poetry manuscript fountain pen"
9455,"La historia antigua revela secretos fascinantes.","Ancient history reveals fascinating secrets.",B1,phrase,"ancient ruins colosseum rome"
9456,"El riesgo de la inversión se puede controlar.","Investment risk can be controlled.",B1,phrase,"financial risk chart shield"
9457,"La empresa invirtió en nuevas tecnologías.","The company invested in new technologies.",B1,phrase,"tech startup glowing circuit"
9458,"Firmaron el contrato de alquiler por un año.","They signed the lease contract for one year.",B1,phrase,"signing apartment lease key"
9459,"El objetivo principal es reducir costos.","The main objective is to reduce costs.",B1,phrase,"target archery bullseye arrow"
9460,"Evaluamos los resultados del experimento.","We evaluated the results of the experiment.",B1,phrase,"science laboratory data chart"
9461,"El fracaso nos enseña lecciones valiosas.","Failure teaches us valuable lessons.",B1,phrase,"person learning from mistake"
9462,"Aprovechó la oportunidad para viajar.","He took the opportunity to travel.",B1,phrase,"open door luggage travel"
9463,"El tratamiento médico fue muy efectivo.","The medical treatment was very effective.",B1,phrase,"doctor healing patient hands"
9464,"La paciencia es necesaria para aprender.","Patience is necessary for learning.",B1,phrase,"zen stones stack patience"
9465,"El sentimiento de empatía nos une.","The feeling of empathy unites us.",B1,phrase,"helping hands support empathy"
9466,"Mantuvo la esperanza hasta el final.","He kept hope until the end.",B1,phrase,"sunrise shining hopeful horizon"
9467,"La vergüenza le impidió hablar en público.","Shame prevented him from speaking in public.",B1,phrase,"person blushing shy expression"
9468,"La amistad verdadera dura toda la vida.","True friendship lasts a lifetime.",B1,phrase,"best friends embracing smiling"
9469,"La comunidad celebró la fiesta patronal.","The community celebrated the patron saint festival.",B1,phrase,"town festival square lights"
9470,"El delito fue investigado por la policía.","The crime was investigated by the police.",B1,phrase,"detective investigating crime scene"
9471,"El acusado contrató a un buen abogado.","The accused hired a good lawyer.",B1,phrase,"lawyer briefcase courtroom"
9472,"La verdad siempre sale a la luz.","The truth always comes to light.",B1,phrase,"sunlight breaking dark clouds"
9473,"La discusión terminó en un abrazo.","The argument ended in a hug.",B1,phrase,"two people reconciling hug"
9474,"La paz duradera requiere entendimiento.","Lasting peace requires understanding.",B1,phrase,"white dove blue sky peace"
9475,"La bandera flameaba en el edificio.","The flag was waving on the building.",B1,phrase,"national flag flying sky"
9476,"El extranjero solicitó la visado de trabajo.","The foreigner applied for a work visa.",B1,phrase,"traveler passport visa office"
9477,"El traductor convirtió el texto al español.","The translator converted the text to Spanish.",B1,phrase,"translator writing dictionary"
9478,"El anuncio en la radio informó del evento.","The radio announcement informed about the event.",B1,phrase,"vintage radio studio mic"
9479,"El cineasta presentó su nueva película.","The filmmaker presented his new movie.",B1,phrase,"movie director camera stage"
9480,"El poeta publicó su primer libro de versos.","The poet published his first poetry book.",B1,phrase,"poet writing feather pen"
9481,"La arquitectura de la ciudad es soberbia.","The architecture of the city is superb.",B1,phrase,"historic architecture cathedral"
9482,"El medio ambiente necesita nuestra protección.","The environment needs our protection.",B1,phrase,"hands holding green sprout"
9483,"El análisis de datos mostró sorpresas.","Data analysis showed surprises.",B1,phrase,"data analytics dashboard graph"
9484,"El salario cubría todos sus gastos mensuales.","The salary covered all his monthly expenses.",B1,phrase,"calculating budget paycheck"
9485,"El síntoma desapareció tras tomar la medicina.","The symptom disappeared after taking medicine.",B1,phrase,"healthy happy patient bed"
9486,"La experiencia laboral es muy importante.","Work experience is very important.",B1,phrase,"resume work history review"
9487,"El esfuerzo diario trae grandes frutos.","Daily effort yields great fruits.",B1,phrase,"gardener harvesting fresh vegetables"
9488,"El miedo no debe paralizar nuestros sueños.","Fear should not paralyze our dreams.",B1,phrase,"person standing brave summit"
9489,"El respeto mutuo fortalece las relaciones.","Mutual respect strengthens relationships.",B1,phrase,"respectful handshake partners"
9490,"La relación comercial fue muy próspera.","The commercial relationship was very prosperous.",B1,phrase,"business partners meeting room"
9491,"El ciudadano ejerció su derecho al voto.","The citizen exercised his right to vote.",B1,phrase,"voter ballot box democracy"
9492,"La ley protege a todos los ciudadanos.","The law protects all citizens.",B1,phrase,"statue of justice scales"
9493,"El testigo prometió decir la verdad.","The witness promised to tell the truth.",B1,phrase,"witness stand oath court"
9494,"Llegaron a un acuerdo tras horas de reunión.","They reached an agreement after hours of meeting.",B1,phrase,"business deal handshake coffee"
9495,"El idioma facilita el intercambio cultural.","Language facilitates cultural exchange.",B1,phrase,"multicultural dialogue speech"
9496,"Las redes sociales conectan a las personas.","Social media connects people.",B1,phrase,"global network social icons"
9497,"La obra de teatro tuvo buenas críticas.","The play received good reviews.",B1,phrase,"theater stage applause audience"
9498,"El autor firmó ejemplares de su libro.","The author signed copies of his book.",B1,phrase,"author signing book fans"
9499,"La tecnología impulsa la innovación.","Technology drives innovation.",B1,phrase,"futuristic glowing circuit lightbulb"
9500,"La sociedad evoluciona constantemente.","Society evolves constantly.",B1,phrase,"city street busy people"
9501,"El contrato establece todas las condiciones.","The contract specifies all conditions.",B1,phrase,"legal contract document pen"
9502,"La estrategia comercial fue acertada.","The commercial strategy was successful.",B1,phrase,"chess strategy board win"
9503,"La vacuna previno el contagio.","The vaccine prevented contagion.",B1,phrase,"syringe vaccine bottle science"
9504,"El consejo de mi abuelo fue sabio.","My grandfather's advice was wise.",B1,phrase,"wise grandfather talking grandchild"
9505,"La emoción al ganar el premio fue enorme.","The emotion upon winning the award was huge.",B1,phrase,"champion trophy celebration"
9506,"La amistad requiere sinceridad y confianza.","Friendship requires sincerity and trust.",B1,phrase,"friends laughing park bench"
9507,"El divorcio fue acordado amistosamente.","The divorce was agreed upon amicably.",B1,phrase,"signing legal papers amicably"
9508,"El policía dirigió el tráfico denso.","The police officer directed the heavy traffic.",B1,phrase,"police officer traffic intersection"
9509,"El abogado defendió al cliente con pasión.","The lawyer defended the client with passion.",B1,phrase,"lawyer speaking courtroom jury"
9510,"El conflicto fue solucionado pacíficamente.","The conflict was solved peacefully.",B1,phrase,"shaking hands peace agreement"
9511,"La frontera separa los dos países.","The border separates the two countries.",B1,phrase,"border river bridge crossing"
9512,"La traducción del documento fue precisa.","The translation of the document was precise.",B1,phrase,"translation dictionary document"
9513,"La televisión retransmitió el partido.","Television broadcasted the match.",B1,phrase,"live sports tv broadcast"
9514,"La historia nos enseña los errores del pasado.","History teaches us past mistakes.",B1,phrase,"ancient museum artifacts history"
9515,"El medio ambiente requiere atención urgente.","The environment requires urgent attention.",B1,phrase,"protecting earth nature hands"
9516,"El proyecto avanza según lo planificado.","The project progresses as planned.",B1,phrase,"blueprint project plan meeting"
9517,"La inversión trajo excelentes beneficios.","The investment brought excellent profits.",B1,phrase,"sprouting plant money coins"
9518,"El tratamiento médico fue un éxito total.","The medical treatment was a complete success.",B1,phrase,"healthy patient leaving hospital"
9519,"La memoria nos permite recordar bellos momentos.","Memory allows us to recall beautiful moments.",B1,phrase,"cherished family photo album"
9520,"El respeto por los mayores es fundamental.","Respect for elders is fundamental.",B1,phrase,"young person helping elder"
9521,"La comunidad organizó una limpieza del parque.","The community organized a park cleanup.",B1,phrase,"volunteers cleaning green park"
9522,"El juez escuchó atentamente a ambas partes.","The judge listened attentively to both sides.",B1,phrase,"judge courtroom listening gavel"
9523,"Llegamos a un acuerdo beneficioso.","We reached a beneficial agreement.",B1,phrase,"handshake corporate deal"
9524,"El idioma oficial es el español.","The official language is Spanish.",B1,phrase,"spanish dictionary textbook"
9525,"La televisión informó sobre el clima.","Television reported on the weather.",B1,phrase,"weather forecast tv screen"
9526,"La historia de la ciencia es fascinante.","The history of science is fascinating.",B1,phrase,"vintage scientific instruments"
9527,"La estrategia redujo los costos.","The strategy reduced costs.",B1,phrase,"cost reduction chart graph"
9528,"La vacuna protegió a la población.","The vaccine protected the population.",B1,phrase,"medical immunization syringe"
9529,"La emoción embargó al ganador.","Emotion overwhelmed the winner.",B1,phrase,"tearful joyful winner trophy"
9530,"El matrimonio celebró sus bodas de oro.","The married couple celebrated golden wedding.",B1,phrase,"elderly couple anniversary cake"
9531,"El abogado redactó el contrato final.","The lawyer drafted the final contract.",B1,phrase,"lawyer pen writing contract"
9532,"La paz trajo prosperidad a la región.","Peace brought prosperity to the region.",B1,phrase,"peaceful sunny valley town"
9533,"La traducción fue publicada en varios idiomas.","The translation was published in several languages.",B1,phrase,"multilingual books stack"
9534,"El museo alberga obras famosas.","The museum houses famous works.",B1,phrase,"art museum gallery paintings"
9535,"El desarrollo económico beneficia a todos.","Economic development benefits everyone.",B1,phrase,"modern city skyline growth"
9536,"La inversión generó miles de empleos.","The investment generated thousands of jobs.",B1,phrase,"new factory workers job"
9537,"La experiencia nos ayuda a tomar decisiones.","Experience helps us make decisions.",B1,phrase,"wise leader making decision"
9538,"El orgullo de nuestra cultura es grande.","The pride of our culture is great.",B1,phrase,"traditional cultural festival dance"
9539,"La ley garantiza la libertad de prensa.","The law guarantees freedom of the press.",B1,phrase,"newspaper printing press machine"
9540,"El conflicto se resolvió mediante diálogo.","The conflict was resolved through dialogue.",B1,phrase,"peaceful dialogue round table"
9541,"Las noticias de la mañana fueron positivas.","Morning news was positive.",B1,phrase,"newspaper headlines coffee"
9542,"La investigación espacial avanza rápido.","Space research advances quickly.",B1,phrase,"space telescope galaxy stars"
9543,"El salario permite vivir con comodidad.","The salary allows living comfortably.",B1,phrase,"cozy apartment home living"
9544,"La relación cliente empresa es primordial.","Client company relationship is essential.",B1,phrase,"happy client customer handshake"
9545,"El juez aplazó la sesión del juicio.","The judge adjourned the trial session.",B1,phrase,"gavel courtroom judge desk"
9546,"El idioma nos permite conectar emociones.","Language allows us to connect emotions.",B1,phrase,"heart speech bubbles dialogue"
9547,"La historia del arte inspira a los pintores.","Art history inspires painters.",B1,phrase,"artist painting outdoor canvas"
9548,"La seguridad informática protege nuestros datos.","IT security protects our data.",B1,phrase,"cyber security digital lock"
9549,"La experiencia adquirida fue inestimable.","The experience gained was invaluable.",B1,phrase,"climbing mountain peak achievement"
9550,"El respeto abre muchas puertas en la vida.","Respect opens many doors in life.",B1,phrase,"open door golden light"
9551,"El contrato incluye seguro de salud.","The contract includes health insurance.",B1,phrase,"health insurance document shield"
9552,"La vacuna se distribuyó en todo el país.","The vaccine was distributed nationwide.",B1,phrase,"medical transport vaccine boxes"
9553,"La emoción de viajar nos alegra.","The excitement of traveling pleases us.",B1,phrase,"traveler airport boarding plane"
9554,"El policía recibió una medalla al honor.","The police officer received a medal of honor.",B1,phrase,"police medal honor ceremony"
9555,"La paz es el camino hacia el futuro.","Peace is the way to the future.",B1,phrase,"sun rising over peaceful valley"
9556,"El museo abre todos los días excepto lunes.","The museum opens every day except Monday.",B1,phrase,"museum entrance opening hours"
9557,"El proyecto recibió financiación internacional.","The project received international funding.",B1,phrase,"global funding piggy bank"
9558,"La experiencia nos enseña a ser mejores.","Experience teaches us to be better.",B1,phrase,"reading book wise thoughts"
9559,"La comunidad celebró la inauguración.","The community celebrated the inauguration.",B1,phrase,"ribbon cutting ceremony inauguration"
9560,"El abogado presentó el recurso judicial.","The lawyer submitted the judicial appeal.",B1,phrase,"legal appeal documents court"
9561,"La historia es la maestra de la vida.","History is the teacher of life.",B1,phrase,"classic history library books"
9562,"La inversión impulsó el comercio local.","Investment boosted local commerce.",B1,phrase,"busy local market shops"
9563,"El respeto a las opiniones ajenas es esencial.","Respect for others' opinions is essential.",B1,phrase,"respectful debate round table"
9564,"El contrato fue firmado por ambas partes.","The contract was signed by both parties.",B1,phrase,"signing business agreement pen"
9565,"La paz reina en la pequeña aldea.","Peace reigns in the small village.",B1,phrase,"serene mountain village sunset"
9566,"El museo ofrece visitas guiadas gratis.","The museum offers free guided tours.",B1,phrase,"museum tour guide visitors"
9567,"El proyecto finalizó con gran éxito.","The project finished with great success.",B1,phrase,"team celebrating completion project"
9568,"La experiencia fue verdaderamente inolvidable.","The experience was truly unforgettable.",B1,phrase,"hot air balloon sunset flight"
9569,"La ley apoya la protección de la naturaleza.","The law supports nature protection.",B1,phrase,"forester planting green tree"
9570,"La historia continúa en el siguiente capítulo.","History continues in the next chapter.",B1,phrase,"turning page book reading"
